Ticker,EV,OperatingIncome,AcqMultiple
LEU,5117365248,48300000.0,105.95
VISN,11959092224,268700000.0,44.51
ATRO,3008519936,26466000.0,113.67
BELFB,2819910400,68156000.0,41.37
TPB,2361380352,80832000.0,29.21
CECO,2592506880,40385000.0,64.19
DAVE,2485461248,34611000.0,71.81
INOD,1813398656,24336000.0,74.52
WLDN,1964500096,31353000.0,62.66
AORT,2249846528,38874000.0,57.88
TILE,1980756608,134406000.0,14.74
BLBD,1422594560,167166000.0,8.51
DGII,1738369024,56290000.0,30.88
DCO,1895649280,58655000.0,32.32
HROW,1941488256,9075000.0,213.94
COLL,2136436992,166981000.0,12.79
CMPO,3087654912,107622000.0,28.69
TTI,1652265088,49884000.0,33.12
NVRI,3068262656,76709000.0,40.0
AMSC,1198778368,5605000.0,213.88
THR,1468970880,79456000.0,18.49
CRAI,1542759168,70751000.0,21.81
WINA,1575720576,52930600.0,29.77
ATEN,1073736960,43968000.0,24.42
CDRE,2002045312,72768000.0,27.51
CSTL,942245632,8670000.0,108.68
VTOL,1843666560,129536000.0,14.23
NESR,2135526016,137704000.0,15.51
WTTR,1672679808,56084000.0,29.82
NPKI,1117473920,32351000.0,34.54
PGY,2389612288,39142000.0,61.05
SKYT,1874724224,6560000.0,285.78
PENG,1319731840,74198000.0,17.79
PNTG,1365450624,37434000.0,36.48
GLDD,1448212480,89807000.0,16.13
REX,881079680,64329000.0,13.7
MAZE,1773864192,57586000.0,30.8
BBSI,142100240,59781000.0,2.38
METC,1418529152,16636000.0,85.27
PLYM,1885646976,36144000.0,52.17
BJRI,1411478400,32494000.0,43.44
UTL,1680401792,90600000.0,18.55
ALNT,1239161216,30038000.0,41.25
SCSC,884948032,92481000.0,9.57
LMB,1013601408,42394000.0,23.91
NX,1638817408,118523000.0,13.83
TDAY,1925887744,71012000.0,27.12
PAHC,2367750656,110465000.0,21.43
FBRT,5492758528,110779000.0,49.58
IRMD,1256551552,21964727.0,57.21
NAT,1225176704,77311000.0,15.85
PLOW,1116265728,47635000.0,23.43
DAKT,895148736,17638000.0,50.75
BBW,915307328,66280000.0,13.81
QNST,722259840,6193000.0,116.63
IDT,1041030976,106155000.0,9.81
GOLD,1758003456,48803000.0,36.02
DJCO,375258400,11303000.0,33.2
GHM,781828288,15188000.0,51.48
LINC,986440128,14502000.0,68.02
MYE,1096041984,66697000.0,16.43
KE,717181888,54134000.0,13.25
IRWD,1202901248,95717000.0,12.57
LQDT,785797696,35066000.0,22.41
TREE,1268904320,48932000.0,25.93
MTUS,641765824,10000000.0,64.18
BTBT,732781184,27563264.0,26.59
APEI,707703424,38782000.0,18.25
PRSU,1147552000,20392000.0,56.27
EVER,713210496,31751000.0,22.46
